source,relationship,target,weight,result,cmd,runtime,status
T_5127,runtime_stat,CPU_1,1,,,361659,
T_5127,switched_out,CPU_1,1,,,,
CPU_2,switched_in,T_5125,3,,,,
T_5125,runtime_stat,CPU_2,5,,,134782,
CPU_3,switched_in,T_5128,2,,,,
P_5128,contains,T_5128,1,,,,
T_5125,switched_out,CPU_2,3,,,,
T_5128,close_fd,File_FD_10,2,,,,
T_5128,close_exit,T_5128,6,0,,,
T_5128,close_fd,File_FD_4,2,,,,
T_5128,close_fd,File_FD_5,1,,,,
T_5128,close_fd,File_FD_2,1,,,,
T_5128,runtime_stat,CPU_3,4,,,70965,
T_5128,switched_out,CPU_3,2,,,,
CPU_3,switched_in,T_5129,1,,,,
P_5129,contains,T_5129,1,,,,
T_5129,scheduled_to_wake_on,CPU_3,2,,,,
T_5129,wake_up,CPU_3,2,,,,
T_5129,runtime_stat,CPU_3,1,,,30790,
T_5129,switched_out,CPU_3,1,,,,
CPU_1,switched_in,T_5129,1,,,,
T_5129,close_fd,File_FD_4,4,,,,
T_5129,close_exit,T_5129,6,0,,,
T_5129,scheduled_to_wake_on,CPU_2,1,,,,
T_5129,wake_up,CPU_2,1,,,,
T_5129,close_fd,File_FD_1,1,,,,
T_5129,close_fd,File_FD_2,1,,,,
T_5129,runtime_stat,CPU_1,1,,,448304,
T_5129,switched_out,CPU_1,1,,,,
T_5128,scheduled_to_wake_on,CPU_2,1,,,,
T_5128,wake_up,CPU_2,1,,,,
CPU_1,switched_in,T_5130,8,,,,
P_5130,contains,T_5130,1,,,,
T_5130,close_fd,File_FD_10,4,,,,
T_5130,close_exit,T_5130,243,0,,,
T_5130,scheduled_to_wake_on,CPU_1,2,,,,
T_5130,wake_up,CPU_1,1,,,,
T_5130,runtime_stat,CPU_1,20,,,52504,
T_5130,switched_out,CPU_1,8,,,,
CPU_2,switched_in,T_5130,3,,,,
T_5130,close_fd,File_FD_4,159,,,,
T_5130,runtime_stat,CPU_2,7,,,858741,
T_5130,ioctl,File_4,8,,21505,,
T_5130,ioctl_exit,T_5130,8,-25,,,
T_5130,close_fd,File_FD_5,60,,,,
CPU_1,switched_in,T_5131,2,,,,
P_5131,contains,T_5131,1,,,,
T_5130,switched_out,CPU_2,3,,,,
T_5131,close_fd,File_FD_4,3,,,,
T_5131,close_exit,T_5131,5,0,,,
T_5131,close_fd,File_FD_2,1,,,,
T_5131,runtime_stat,CPU_1,5,,,485478,
